都道府県,第1次産業就業者比率,耕地面積比率,就業者1人当たり農業産出額,日照時間
北海道,6.7,14.6,1828.8,1889.6
青森県,11.1,15.4,658.9,1821.4
岩手県,9.6,9.6,598.3,1913.3
宮城県,4.1,17.1,529.3,2181.7
秋田県,8.6,12.5,495.3,1836.2
山形県,8.6,12.2,613.3,1893.6
福島県,6.2,9.8,381.8,2064.5
茨城県,5.1,26.1,766.8,2454.4
栃木県,5.2,18.8,633.4,2293.6
群馬県,4.5,10.0,888.5,2497.2
埼玉県,1.5,19.2,410.0,2545.5
千葉県,2.4,23.3,730.4,2345.7
東京都,0.4,2.8,273.4,2259.2
神奈川県,0.8,7.4,407.8,2410.0
新潟県,5.1,13.3,514.1,1944.0
富山県,2.9,13.6,504.5,1979.1
石川県,2.6,9.6,496.1,2029.8
福井県,3.2,9.4,469.9,1955.5
山梨県,6.6,5.2,567.8,2484.1
長野県,8.4,7.7,487.8,2235.8
岐阜県,2,8,5.1,536.0,2342.4
静岡県,3.5,7.6,550.6,2459.3
愛知県,1.9,14.0,775.4,2378.4
三重県,3.1,9.8,578.7,2373.3
滋賀県,2.4,12.4,604.4,2101.7
京都府,2.0,6.4,462.0,2081.4
大阪府,0.5,6.3,368.7,2324.0
兵庫県,1.8,8.6,457.6,2318.7
奈良県,2.4,5.1,367.0,2094.5
和歌山県,8.1,6.6,407.3,2328.0
鳥取県,7.7,9.4,429.6,1936.3
島根県,6.4,5.3,447.4,1894.4
岡山県,4.1,8.7,521.7,2200.6
広島県,2.7,6.0,525.4,2179.0
山口県,4.1,7.1,400.3,2019.1
徳島県,7.4,6.6,485.2,2308.8
香川県,4.7,15.2,470.0,2207.9
愛媛県,6.8,7.8,430.0,2140.2
高知県,10.2,3.6,554.6,2249.0
福岡県,2.4,15.7,530.8,2032.8
佐賀県,7.4,20.4,687.4,2084.1
長崎県,6.6,10.9,599.0,1939.3
熊本県,8.8,14.1,677.6,2100.6
大分県,6.1,8.5,579.2,2116.1
宮崎県,9.9,8.2,1110.2,2213.4
鹿児島県,8.3,12.1,1360.8,2102.3
沖縄県,4.0,15.8,669.8,1860.9
